country,average-day-of-staying,total-expense
괌,3,464094
그리스,4,812820
남극,#N/A,#N/A
남아프리카 공화국,9,1026513
네덜란드,2,458850
네팔,13,630591
노르웨이,2,283176
뉴질랜드,2,348726
대만,#N/A,#N/A
덴마크,#N/A,#N/A
독일,2,395922
라오스,#N/A,#N/A
라트비아,2,296286
러시아,5,393300
루마니아,3,302841
룩셈부르크,2,479826
리투아니아,2,238602
마카오,1,190095
말레이시아,2,209760
멕시코,4,629280
모나코,3,825930
모로코,5,426075
모리셔스,#N/A,#N/A
몬테네그로,#N/A,#N/A
몰디브,8,3146400
몰타,8,3356160
몽골,#N/A,#N/A
미국,#N/A,#N/A
미얀마,4,288420
베트남,3,239913
벨기에,#N/A,#N/A
보라보라 섬,#N/A,#N/A
보스니아 헤르체고비나,2,178296
볼리비아,2,136344
불가리아,4,335616
브라질,#N/A,#N/A
브루나이,3,464094
사이판,#N/A,#N/A
세르비아,3,141588
세이셸,10,2818650
스리랑카,10,340860
스웨덴,2,332994
스위스,2,710562
스페인,3,589950
슬로바키아,3,495558
슬로베니아,3,365769
싱가포르,4,802332
아랍에미리트,3,987183
아르헨티나,2,68172
아이슬란드,2,490314
아일랜드,#N/A,#N/A
아제르바이잔,3,432630
에스토니아,2,264822
에티오피아,3,228114
영국,2,458850
오스트리아,4,770868
요르단,2,398544
우루과이,5,504735
우즈베키스탄,3,27531
우크라이나,3,98325
이스라엘,3,432630
이집트,9,306774
이탈리아,3,652878
인도,#N/A,#N/A
인도네시아,2,152076
일본,1,165186
조지아,5,209760
중국,3,306774
체코,3,409032
칠레,2,280554
카자흐스탄,#N/A,#N/A
카타르,4,1137948
캄보디아,#N/A,#N/A
캐나다,5,1107795
케냐,12,1683324
콜롬비아,3,165186
쿠바,3,161253
크로아티아,4,492936
탄자니아,9,1179900
태국,2,293664
튀르키예,3,121923
팔라우,7,1523382
페루,1,76038
포르투갈,3,534888
폴란드,2,146832
프랑스,2,610926
피지,#N/A,#N/A
핀란드,2,411654
필리핀,3,251712
헝가리,3,306774
호주,#N/A,#N/A
홍콩,#N/A,#N/A
